county,state,capital,population
Mayen-Koblenz,RP,Koblenz,214259
Mecklenburgische Seenplatte,MV,Neubrandenburg,259130
Meißen,SN,Meißen,242165
Merzig-Wadern,SL,Merzig,103366
Mettmann,NW,Mettmann,485684
Miesbach,BY,Miesbach,99726
Miltenberg,BY,Miltenberg,128756
Minden-Lübbecke,NW,Minden,310710
Mittelsachsen,SN,Freiberg,306185
Mühldorf am Inn,BY,Mühldorf am Inn,115250
München,BY,München,348871
Neckar-Odenwald-Kreis,BW,Mosbach,143535
Neu-Ulm,BY,Neu-Ulm,174200
Neuburg-Schrobenhausen,BY,Neuburg an der Donau,96680
Neumarkt in der Oberpfalz,BY,Neumarkt in der Oberpfalz,133561
Neunkirchen,SL,Ottweiler,132206
Neustadt an der Aisch-Bad Windsheim,BY,Neustadt an der Aisch,100364
Neustadt an der Waldnaab,BY,Neustadt an der Waldnaab,94352
Neuwied,RP,Neuwied,181941
Nienburg/Weser,NI,Nienburg/Weser,121386
Nordfriesland,SH,Husum,165507
Nordhausen,TH,Nordhausen,83822
Nordsachsen,SN,Torgau,197673
Nordwestmecklenburg,MV,Wismar,156729
Northeim,NI,Northeim,132765
Nürnberger Land,BY,Lauf an der Pegnitz,170365
Oberallgäu,BY,Sonthofen,155362
Oberbergischer Kreis,NW,Gummersbach,272471
Oberhavel,BB,Oranienburg,211249
Oberspreewald-Lausitz,BB,Senftenberg,110476
Odenwaldkreis,HE,Erbach,96798
Oder-Spree,BB,Beeskow,178658
Offenbach,HE,Dietzenbach,354092
Oldenburg,NI,Wildeshausen,130144
Olpe,NW,Olpe,134775
Ortenaukreis,BW,Offenburg,429479
Osnabrück,NI,Osnabrück,357343
Ostalbkreis,BW,Aalen,314002
Ostallgäu,BY,Marktoberdorf,140316
Osterholz,NI,Osterholz-Scharmbeck,113517
Ostholstein,SH,Eutin,200581
Ostprignitz-Ruppin,BB,Neuruppin,99078
Paderborn,NW,Paderborn,306890
Passau,BY,Passau,192043
Peine,NI,Peine,133965
Pfaffenhofen an der Ilm,BY,Pfaffenhofen an der Ilm,127151
Pinneberg,SH,Elmshorn,314391
Plön,SH,Plön,128647
Potsdam-Mittelmark,BB,Bad Belzig,214664
Prignitz,BB,Perleberg,76508
Rastatt,BW,Rastatt,231018
Ravensburg,BW,Ravensburg,284285
Recklinghausen,NW,Recklinghausen,615261
Regen,BY,Regen,77656
Regensburg,BY,Regensburg,193572
Rems-Murr-Kreis,BW,Waiblingen,426158
Rendsburg-Eckernförde,SH,Rendsburg,272775
Reutlingen,BW,Reutlingen,286748
Rhein-Erft-Kreis,NW,Bergheim,470089
Rheingau-Taunus-Kreis,HE,Bad Schwalbach,187157
Rhein-Hunsrück-Kreis,RP,Simmern/Hunsrück,102937
Rheinisch-Bergischer Kreis,NW,Bergisch Gladbach,283455
Rhein-Kreis Neuss,NW,Neuss,451007
Rhein-Lahn-Kreis,RP,Bad Ems,122308
Rhein-Neckar-Kreis,BW,Heidelberg,547625
